編號,鄉鎮,幼兒園名稱,幼兒園電話,幼兒園住址,核定總招收人數
409,士林區,臺北市私立幼天才幼兒園,(02)28802380,[111]臺北市士林區福中里3鄰福港街107巷16、18、20號1樓,40
410,士林區,臺北市私立求真幼兒園,(02)28828069,[111]臺北市士林區福中里8鄰通河東街一段136巷24.26號1樓,37
411,士林區,臺北市私立欣光幼兒園,(02)28822302,[111]臺北市士林區百齡里14鄰福港街259巷4號1樓至2樓及6號1樓,120
412,士林區,臺北市私立育成幼兒園,(02)28858002,[111]臺北市士林區明勝里10鄰承德路四段12巷10.12.14號1樓,60
413,士林區,臺北市私立多多種子幼兒園,(02)28122563,[111]臺北市士林區葫蘆里8鄰延平北路五段245巷2.4號,60
414,士林區,臺北市私立何嘉仁幼兒園,(02)28128097,[111]臺北市士林區葫蘆里7鄰延平北路五段231巷1號,120
415,士林區,臺北市私立育強幼兒園,(02)28128829,[111]臺北市士林區社子里18鄰社正路45巷12號1、2樓,90
416,士林區,臺北市私立太和騰幼兒園,(02)28129958,[111]臺北市士林區社新里15鄰延平北路6段227號1至3樓,97
417,士林區,臺北市私立愛樂芬幼兒園,(02)88111313,[111]臺北市士林區社新里21鄰社子街63巷8號1樓,21
418,士林區,臺北市私立慈暉幼兒園,(02)28113589,"[111]臺北市士林區社園里24鄰永平街46巷3弄7,9號1樓及9號2樓",30
419,士林區,臺北市私立星莆幼兒園,(02)28126386,[111]臺北市士林區社園里26鄰社中街289、291號1樓,40
420,士林區,臺北市私立幼安幼兒園,(02)88115787,[111]臺北市士林區社園里6鄰社中街231巷27號1樓,27
421,士林區,臺北市私立飛達幼兒園,(02)28113351,[111]臺北市士林區永倫里1鄰延平北路六段210號1樓、2樓之1、2樓之2及212號1樓,90
422,士林區,臺北市私立社中幼兒園,(02)28126797,"[111]臺北市士林區永倫里15鄰社中街424號1,2樓",40
423,士林區,臺北市私立比特幼兒園,(02)88111398,[111]臺北市士林區永倫里11鄰社中街381號1樓,20
424,士林區,臺北市私立浩恩幼兒園,(02)28359964,[111]臺北市士林區岩山里10鄰忠義街91巷17.19號1樓,40
425,士林區,臺北市私立微笑音符幼兒園,(02)88666629,[111]臺北市士林區岩山里8鄰至誠路1段148號1樓及2樓,29
426,士林區,臺北市私立博如幼兒園,(02)28339854,"[111]臺北市士林區名山里1鄰雙溪街18,20號1樓",70
427,士林區,臺北市私立怡寶幼兒園,(02)28364720,[111]臺北市士林區名山里19鄰中山北路六段2巷33號1樓,28
428,士林區,臺北市私立怡寶資優幼兒園,(02)28364720,[111]臺北市士林區名山里19鄰中山北路六段2巷39號1、2樓,40
429,士林區,臺北市私立淘兒園幼兒園,(02)28861858,"[111]臺北市士林區德行里17鄰承德路四段57號一樓,53號二樓,55號二樓,.57號二樓",64
430,士林區,臺北市私立泰安幼兒園,(02)28314281,[111]臺北市士林區德行里4鄰中山北路五段八二九巷14.16號,90
431,士林區,臺北市私立敦品幼兒園,(02)28366464,[111]臺北市士林區聖山里9鄰忠誠路一段173巷13號1、2樓,32
432,士林區,臺北市私立正音幼兒園,(02)28364687,[111]臺北市士林區東山里13鄰東山路135號1樓,116
433,士林區,臺北市私立十大幼兒園,(02)28749113,[111]臺北市士林區三玉里6鄰天母東路92號1樓,60
434,士林區,臺北市私立捷森幼兒園,(02)28741177,[111]臺北市士林區三玉里13鄰天玉街15號1~4樓,80
435,士林區,臺北市私立華邇街幼兒園,(02)28363379,"[111]臺北市士林區蘭雅里14鄰中山北路六段290巷7弄8號1,2樓",70
436,士林區,臺北市私立忠義幼兒園,(02)28310788,[111]臺北市士林區蘭雅里10鄰士東路54巷11、19、21號,150
437,士林區,臺北市私立德行幼兒園,(02)28368002,[111]臺北市士林區蘭雅里24鄰中山北路6段290巷48.50號,90
438,士林區,臺北市私立翰諾幼兒園,(02)28362424,[111]臺北市士林區蘭雅里20鄰德行東路61巷4號1、2樓,40
439,士林區,臺北市私立種籽幼兒園,(02)28315266,[111]臺北市士林區蘭雅里14鄰中山北路六段290巷11弄3號1樓,40
440,士林區,臺北市私立熊寶貝幼兒園,(02)28363868,[111]臺北市士林區蘭雅里18鄰士東路46巷26號1樓,165
441,士林區,臺北市私立太和蒙特梭利幼兒園,(02)28366268,[111]臺北市士林區蘭雅里15鄰中山北路六段290巷7弄7號1樓,60
442,士林區,臺北市私立有緣蒙特梭利幼兒園,(02)28320290,[111]臺北市士林區蘭興里7鄰忠誠路2段32巷11號1樓,27
443,士林區,臺北市私立博如日本幼兒幼兒園,(02)28340473,[111]臺北市士林區蘭興里13鄰克強路10巷9弄29及31號1樓,40
444,士林區,臺北市私立師達幼兒園,(02)28718869,[111]臺北市士林區天祿里3鄰士東路91巷26弄12號1樓至2樓,36
445,士林區,臺北市私立博仁幼兒園,(02)28723567,[111]臺北市士林區天壽里9鄰中山北路六段405巷29、31號,120
446,士林區,臺北市私立弘明幼兒園,(02)28726200,[111]臺北市士林區天山里12鄰中山北路7段114巷11號,99
447,士林區,臺北市私立沐恩蒙特梭利幼兒園,(02)28765636,[111]臺北市士林區天山里3鄰天母東路69巷11之5號1樓,33
448,士林區,臺北市私立天母蒙特梭利幼兒園,(02)28728454,[111]臺北市士林區天玉里12鄰天母西路95巷21號1.2樓,112
449,士林區,臺北市私立精采童年幼兒園,(02)28717230,[111]臺北市士林區天玉里18鄰天母北路42之2號1、2樓及天母北路42之1號2樓之1,115
450,士林區,臺北市私立道思幼兒園,(02)28731515,[111]臺北市士林區天玉里20鄰天母北路61號1樓、61之1號1樓及61之1號2樓,100
451,士林區,臺北市私立好來幼兒園,(02)28718696,[111]臺北市士林區天母里14鄰中山北路七段225之1號1.2樓,120
452,士林區,臺北市私立心愛幼兒園,(02)28739393,[111]臺北市士林區天母里1鄰中山北路七段190巷104號1、2樓,180
453,士林區,臺北市私立道爾敦幼兒園,(02)28730225,[111]臺北市士林區天母里5鄰中山北路七段224號1、2樓及224之1號1、2樓,150
454,士林區,財團法人林迺翁文教基金會附設臺北市私立天鵝堡幼兒園,(02)28411618,[111]臺北市士林區臨溪里8鄰至善路2段280之1號、280之1號2樓、280之1號3樓,210
455,士林區,臺北市私立奧爾仕幼兒園,(02)28807531,[111]臺北市士林區臨溪里1鄰至善路二段1之1號1、2樓,150
456,北投區,臺北市私立發現蒙特梭利幼兒園,(02)28232092,[112]臺北市北投區建民里6鄰文林北路80巷90弄41號1、2樓,42
457,北投區,臺北市私立資優兒幼兒園,(02)28231799,[112]臺北市北投區建民里8鄰文林北路80巷38弄10號1樓,30
458,北投區,臺北市私立晴晴幼兒園,(02)28239652,[112]臺北市北投區石牌里8鄰致遠一路一段104巷19號1、2樓,30
459,北投區,財團法人天主教會台北教區附設臺北市私立達義幼兒園,(02)28270668,[112]臺北市北投區榮光里12鄰致遠一路2段40巷11號1、2、3樓,180
460,北投區,臺北市私立一德幼兒園,(02)28215755,[112]臺北市北投區榮華里16鄰明德路136巷9號1樓,120
461,北投區,臺北市私立皇家幼兒園,(02)28220869,[112]臺北市北投區榮華里9鄰榮華二路9號1樓,60
462,北投區,臺北市私立奎山中學附設幼兒園,(02)28212009#11,[112]臺北市北投區榮華里13鄰明德路200號,90
463,北投區,臺北市私立成美蒙特梭利幼兒園,(02)28218915,[112]臺北市北投區裕民里19鄰裕民六路114巷36弄5號1樓及7號1樓,40
464,北投區,臺北市私立優格快樂幼兒園,(02)28718388,[112]臺北市北投區永欣里14鄰石牌路二段315巷10弄10號1樓,40
465,北投區,臺北市私立丹佛幼兒園,(02)28721955,[112]臺北市北投區永欣里11鄰石牌路二段358之1號及358之2號1、2樓,84
466,北投區,臺北市私立優格幼兒園,(02)28710871,[112]臺北市北投區永欣里14鄰石牌路二段315巷10弄10號2樓,19
467,北投區,臺北市私立艾法貝納幼兒園,(02)28769011,[112]臺北市北投區永欣里18鄰行義路10巷2號2樓之1,70
468,北投區,臺北市私立華民幼兒園,(02)28732423,[112]臺北市北投區永欣里11鄰石牌路二段358號1、2樓,99
469,北投區,臺北榮民總醫院附設臺北市私立榮光幼兒園,(02)28757465,[112]臺北市北投區永欣里3鄰石牌路二段201號1樓至3樓,99
470,北投區,臺北市私立愛德恩幼兒園,(02)28721955,[112]臺北市北投區永欣里13鄰石牌路二段303號,50
471,北投區,臺北市私立正大幼兒園,(02)28229788,[112]臺北市北投區永明里7鄰義理街49巷2至4號1-2樓及2號3樓,58
472,北投區,臺北市私立德美蒙特梭利幼兒園,(02)28205120,[112]臺北市北投區永明里12鄰東華街二段92之2及92之3號1樓,27
473,北投區,臺北市私立心美蒙特梭利幼兒園,(02)28205120,[112]臺北市北投區永明里12鄰東華街二段92號及92之1號1樓,36
474,北投區,臺北市私立新茗幼兒園,(02)28216602,[112]臺北市北投區東華里17鄰立農街二段257之1號1樓,20
475,北投區,臺北市私立新成功幼兒園,(02)28286318,[112]臺北市北投區吉慶里9鄰實踐街54號,90
476,北投區,臺北市私立石牌旭東幼兒園,(02)28272210,[112]臺北市北投區吉慶里18鄰實踐街82巷14號及16號1樓,53
477,北投區,臺北市私立樂家幼兒園,(02)28288788,[112]臺北市北投區吉慶里1鄰實踐街6巷3弄11號1樓,29
478,北投區,臺北市私立佳人幼兒園,(02)28225958,[112]臺北市北投區尊賢里19鄰實踐街49巷25號1、2樓,63
479,北投區,財團法人臺灣基督長老教會雙連教會附設臺北市私立雙連幼兒園,(02)28228444,[112]臺北市北投區立賢里4鄰承德路7段221號1、2、3樓,1200
480,北投區,臺北市私立聖德幼兒園,(02)28343465,[112]臺北市北投區洲美里10鄰洲美街271號1樓,174
481,北投區,臺北市私立凱薩琳幼兒園,(02)28916098,[112]臺北市北投區奇岩里24鄰公館路279巷2號1、2樓,51
482,北投區,臺北市私立天華幼兒園,(02)28945685,[112]臺北市北投區清江里1鄰清江路25巷7號1樓、7之2號1樓、5號2樓及7號2樓,32
483,北投區,臺北市私立北投青青幼兒園,(02)28965006,[112]臺北市北投區長安里19鄰溫泉路73巷5號1樓,30
484,北投區,臺北市私立國際蒙特梭利北投幼兒園,(02)28949605,[112]臺北市北投區長安里18鄰光明路226-1號,29
485,北投區,臺北市私立資優兒童幼兒園,(02)28949838,[112]臺北市北投區大同里5鄰中央北路一段179巷1號1樓,16
486,北投區,臺北市私立桃樂絲幼兒園,(02)28930381,[112]臺北市北投區溫泉里5鄰民族街12號1、2樓,23
487,北投區,臺北市私立巨登堡幼兒園,(02)28939226,[112]臺北市北投區溫泉里5鄰公?路77號1樓,34
488,北投區,臺北市私立薇閣國民小學附設幼兒園,(02)28911066,[112]臺北市北投區中心里11鄰珠海路50號1樓至2樓,600
489,北投區,臺北市私立育奇幼兒園,(02)28911899,[112]臺北市北投區中庸里13鄰大同街200巷1號1樓,24
490,北投區,臺北市私立藍天幼兒園,(02)28963620,[112]臺北市北投區中和里8鄰中和街392號1、2樓,32
491,北投區,臺北市私立培爾幼兒園,(02)28946256,[112]臺北市北投區中和里15鄰大屯路31巷15號及91巷15號,150
492,北投區,臺北市私立潘蜜拉幼兒園,(02)28921534,[112]臺北市北投區中和里12鄰大屯路21巷21號1樓,90
493,北投區,臺北市私立旭東幼兒園,(02)28913311,[112]臺北市北投區秀山里2鄰中和街446巷56號,120
494,北投區,臺北市私立米蘿幼兒園,(02)28967027,[112]臺北市北投區文化里3鄰文化三路12號1樓,22
495,北投區,臺北市私立卡蕾兒幼兒園,(02)28926957,[112]臺北市北投區文化里3鄰文化三路14號1樓,21
496,北投區,臺北市私立何嘉仁北投幼兒園,(02)28943222,[112]臺北市北投區豐年里15鄰中央北路二段335之2號1、2樓,159
497,北投區,臺北市私立豐年幼兒園,(02)28925688,[112]臺北市北投區豐年里16鄰中央北路二段95巷1弄40號及42號1樓,18
498,北投區,臺北市私立道生幼兒園,(02)28922691,[112]臺北市北投區桃源里12鄰中央北路三段188號1、2、3樓,270
499,北投區,臺北市私立采郁蒙特梭利幼兒園,(02)28978840,[112]臺北市北投區一德里19鄰中央北路四段577巷27弄1號1樓,26
500,北投區,臺北市私立新天地幼兒園,(02)28960707,[112]臺北市北投區一德里2鄰中央北路4段32號1-4樓,210
501,北投區,臺北市私立城市國際幼兒園,(02)2893-2155,[112]臺北市北投區一德里14鄰學園路2號2樓,100
502,北投區,臺北市私立橘子蒙特梭利幼兒園,(02)28584990,[112]臺北市北投區關渡里6鄰知行路292巷6、8號1樓,90
,"","","",合計核定總招收人數,40879
